,,,,,,
,Sales ID,Date,Product Name,Total Revenue,Sales Location,Sales Medium
,AT-15319,01/Dec/19,Kit Kat,"$1,644.56 ",Australian Capital Territory,Online
,AT-16287,07/Mar/20,Kit Kat,$115.12 ,Australian Capital Territory,Online
,AT-19792,09/Aug/20,Kit Kat,$767.46 ,Australian Capital Territory,Online
,AT-22060,31/Oct/20,Kit Kat,$345.36 ,Australian Capital Territory,Online
,AT-22897,28/Nov/20,Kit Kat,"$1,151.19 ",Australian Capital Territory,Online
,AT-325,28/Jan/18,Kit Kat,$483.50 ,Australian Capital Territory,Online
,AT-871,03/Mar/18,Kit Kat,"$1,749.30 ",Australian Capital Territory,Online
,AT-3148,23/Jun/18,Kit Kat,$816.77 ,Australian Capital Territory,Online
,AT-5119,03/Sep/18,Kit Kat,$326.71 ,Australian Capital Territory,Online
,AT-7429,24/Nov/18,Kit Kat,"$1,810.35 ",Australian Capital Territory,Online
,AT-8692,12/Mar/19,Kit Kat,"$1,940.40 ",Australian Capital Territory,Online
,AT-11032,01/Jul/19,Kit Kat,"$1,944.69 ",Australian Capital Territory,Online
,AT-11788,28/Jul/19,Kit Kat,$373.38 ,Australian Capital Territory,Online
,AT-11950,03/Aug/19,Kit Kat,"$2,489.20 ",Australian Capital Territory,Online
,AT-15349,02/Jan/20,Kit Kat,$191.87 ,Australian Capital Territory,Online
,AT-15837,09/Feb/20,Kit Kat,"$1,470.00 ",Australian Capital Territory,Direct
,AT-16776,05/Apr/20,Kit Kat,$298.96 ,Australian Capital Territory,Direct
,AT-17290,02/May/20,Kit Kat,$845.25 ,Australian Capital Territory,Online
,AT-19834,11/Aug/20,Kit Kat,"$1,244.60 ",Australian Capital Territory,Online
,AT-20752,14/Sep/20,Kit Kat,"$2,566.99 ",Australian Capital Territory,Online
,AT-21859,24/Oct/20,Kit Kat,"$3,189.29 ",Australian Capital Territory,Online
,AT-2431,17/Feb/18,Nescafe Gold,$367.50 ,Australian Capital Territory,Online
,AT-2895,13/Jun/18,Nescafe Gold,$694.58 ,Australian Capital Territory,Online
,AT-5892,01/Oct/18,Nescafe Gold,$404.25 ,Australian Capital Territory,Online
,AT-6027,05/Oct/18,Nescafe Gold,$823.20 ,Australian Capital Territory,Online
,AT-6786,02/Nov/18,Nescafe Gold,$360.15 ,Australian Capital Territory,Online
,AT-9087,03/Apr/19,Nescafe Gold,"$2,352.00 ",Australian Capital Territory,Online
,AT-10455,09/Jun/19,Nescafe Gold,$529.20 ,Australian Capital Territory,Online
,AT-13938,14/Oct/19,Nescafe Gold,$764.40 ,Australian Capital Territory,Online
,AT-14904,17/Nov/19,Nescafe Gold,"$1,176.00 ",Australian Capital Territory,Online
,AT-18528,24/Jun/20,Nescafe Gold,$808.50 ,Australian Capital Territory,Online
,AT-20499,04/Sep/20,Nescafe Gold,$367.50 ,Australian Capital Territory,Online
,AT-22842,26/Nov/20,Nescafe Gold,$882.00 ,Australian Capital Territory,Online
,AT-2573,01/Jun/18,Nescafe Gold,$498.27 ,Australian Capital Territory,Direct
,AT-5894,01/Oct/18,Nescafe Gold,"$1,096.19 ",Australian Capital Territory,Direct
,AT-6788,02/Nov/18,Nescafe Gold,$498.27 ,Australian Capital Territory,Direct
,AT-10457,09/Jun/19,Nescafe Gold,"$2,491.34 ",Australian Capital Territory,Direct
,AT-11375,12/Jul/19,Nescafe Gold,"$2,491.34 ",Australian Capital Territory,Direct
,AT-12482,22/Aug/19,Nescafe Gold,$797.23 ,Australian Capital Territory,Direct
,AT-19286,21/Jul/20,Nescafe Gold,$199.31 ,Australian Capital Territory,Direct
,AT-20042,18/Aug/20,Nescafe Gold,$199.31 ,Australian Capital Territory,Direct
,AT-1173,20/Mar/18,Nes Cau,$782.47 ,Australian Capital Territory,Direct
,AT-1795,23/Apr/18,Nes Cau,"$1,036.37 ",Australian Capital Territory,Direct
,AT-3593,08/Jul/18,Nes Cau,"$3,051.63 ",Australian Capital Territory,Direct
,AT-4349,05/Aug/18,Nes Cau,"$1,721.43 ",Australian Capital Territory,Direct
,AT-8994,29/Mar/19,Nes Cau,"$3,577.00 ",Australian Capital Territory,Direct
,AT-9406,20/Apr/19,Nes Cau,$804.83 ,Australian Capital Territory,Direct
,AT-9795,10/May/19,Nes Cau,"$2,682.75 ",Australian Capital Territory,Direct
,AT-11477,16/Jul/19,Nes Cau,$447.13 ,Australian Capital Territory,Direct
,AT-12422,20/Aug/19,Nes Cau,$536.55 ,Australian Capital Territory,Direct
,AT-13502,29/Sep/19,Milo,"$3,577.00 ",Australian Capital Territory,Direct
,AT-17643,19/May/20,Milo,"$2,459.19 ",Australian Capital Territory,Direct
,AT-18065,07/Jun/20,Milo,"$3,353.44 ",Australian Capital Territory,Direct
,AT-20306,28/Aug/20,Milo,$670.69 ,Australian Capital Territory,Direct
,AT-21062,25/Sep/20,Milo,"$1,341.38 ",Australian Capital Territory,Direct
,AT-646,18/Feb/18,Milo,"$7,188.85 ",Australian Capital Territory,Direct
,AT-1593,13/Apr/18,Milo,"$7,188.85 ",Australian Capital Territory,Direct
,AT-3392,01/Jul/18,Milo,"$3,195.05 ",Australian Capital Territory,Direct
,AT-5633,22/Sep/18,Milo,"$2,091.99 ",Australian Capital Territory,Direct
,AT-6389,19/Oct/18,Milo,"$9,984.52 ",Australian Capital Territory,Direct
,AT-7802,12/Jan/19,Milo,"$3,195.05 ",Australian Capital Territory,Direct
,AT-8863,22/Mar/19,Milo,"$6,085.80 ",Australian Capital Territory,Direct
,AT-13544,01/Oct/19,Milo,"$6,085.80 ",Australian Capital Territory,Direct
,AT-14438,02/Nov/19,Milo,"$3,499.34 ",Australian Capital Territory,Direct
,AT-15578,21/Jan/20,Milo,"$8,748.34 ",Australian Capital Territory,Direct
,AT-16480,19/Mar/20,Milo,"$2,282.18 ",Australian Capital Territory,Direct
,AT-17491,12/May/20,Milo,"$15,785.04 ",Australian Capital Territory,Direct
,AT-18107,09/Jun/20,Milo,"$8,177.79 ",Australian Capital Territory,Direct
,AT-19025,12/Jul/20,Milo,"$7,607.25 ",Australian Capital Territory,Direct
,AT-20105,21/Aug/20,Milo,"$1,521.45 ",Australian Capital Territory,Direct
,AT-376,01/Feb/18,Nestle Drumstick,$697.58 ,Australian Capital Territory,Direct
,AT-840,01/Mar/18,Nestle Drumstick,$418.55 ,Australian Capital Territory,Direct
,AT-2935,15/Jun/18,Nestle Drumstick,$498.27 ,Australian Capital Territory,Direct
,AT-6391,19/Oct/18,Nestle Drumstick,$498.27 ,Australian Capital Territory,Direct
,AT-7372,22/Nov/18,Nestle Drumstick,$418.55 ,Australian Capital Territory,Direct
,AT-8661,10/Mar/19,Nestle Drumstick,$478.34 ,Australian Capital Territory,Direct
,AT-10981,29/Jun/19,Nestle Drumstick,"$2,491.34 ",Australian Capital Territory,Direct
,AT-11899,01/Aug/19,Nestle Drumstick,"$3,188.92 ",Australian Capital Territory,Direct
,AT-12979,10/Sep/19,Nestle Drumstick,"$3,188.92 ",Australian Capital Territory,Direct
,AT-15310,01/Dec/19,Nestle Drumstick,"$14,236.25 ",Australian Capital Territory,Direct
,AT-15904,13/Feb/20,Nestle Drumstick,$199.31 ,Australian Capital Territory,Direct
,AT-16482,19/Mar/20,Nestle Drumstick,"$3,587.54 ",Australian Capital Territory,Direct
,AT-16798,06/Apr/20,Nestle Drumstick,"$3,587.54 ",Australian Capital Territory,Direct
,AT-19783,09/Aug/20,Nestle Drumstick,$199.31 ,Australian Capital Territory,Direct
,AT-20539,06/Sep/20,Nestle Drumstick,"$1,096.19 ",Australian Capital Territory,Direct
,AT-327,28/Jan/18,Nestle Drumstick,$878.94 ,Australian Capital Territory,Direct
,AT-1803,24/Apr/18,Nestle Drumstick,$878.94 ,Australian Capital Territory,Direct
,AT-2056,07/May/18,Nestle Drumstick,$527.36 ,Australian Capital Territory,Direct
,AT-3906,20/Jul/18,Nestle Drumstick,"$1,632.31 ",Australian Capital Territory,Direct
,AT-4662,17/Aug/18,Nestle Drumstick,"$1,632.31 ",Australian Capital Territory,Direct
,AT-8459,27/Feb/19,Nestle Drumstick,$602.70 ,Australian Capital Territory,Direct
,AT-9414,21/Apr/19,Nestle Drumstick,"$4,018.00 ",Australian Capital Territory,Direct
,AT-10024,22/May/19,Nestle Drumstick,$602.70 ,Australian Capital Territory,Direct
,AT-11790,28/Jul/19,Nestle Drumstick,$401.80 ,Australian Capital Territory,Direct
,AT-13626,03/Oct/19,Nestle Drumstick,"$2,611.70 ",Australian Capital Territory,Direct
,AT-14739,12/Nov/19,Nestle Drumstick,"$3,641.31 ",Australian Capital Territory,Direct
,AT-17872,31/May/20,Nestle Drumstick,"$2,385.69 ",Australian Capital Territory,Direct
,AT-18378,19/Jun/20,Nestle Drumstick,$502.25 ,Australian Capital Territory,Direct
,AT-21537,12/Oct/20,Nestle Drumstick,"$1,506.75 ",Australian Capital Territory,Direct
,AT-22317,09/Nov/20,Nestle Drumstick,"$2,762.38 ",Australian Capital Territory,Direct
,AT-780,26/Feb/18,Smarties,"$1,121.18 ",Australian Capital Territory,Direct
,AT-1235,24/Mar/18,Smarties,"$4,484.73 ",Australian Capital Territory,Direct
,AT-1637,15/Apr/18,Nes Cau,"$2,242.36 ",Australian Capital Territory,Direct
,AT-2021,05/May/18,Nes Cau,$672.71 ,Australian Capital Territory,Direct
,AT-3602,08/Jul/18,Smarties,$848.01 ,Australian Capital Territory,Online
,AT-4613,15/Aug/18,Smarties,"$1,761.86 ",Australian Capital Territory,Direct
,AT-5369,12/Sep/18,Nes Cau,"$2,690.84 ",Australian Capital Territory,Direct
,AT-5843,29/Sep/18,Nes Cau,$717.54 ,Australian Capital Territory,Online
,AT-6599,26/Oct/18,Smarties,$326.16 ,Australian Capital Territory,Online
,AT-7832,14/Jan/19,Nes Cau,"$3,523.71 ",Australian Capital Territory,Direct
,AT-9476,24/Apr/19,Smarties,"$5,125.40 ",Australian Capital Territory,Direct
,AT-9869,14/May/19,Nes Cau,"$7,944.37 ",Australian Capital Territory,Direct
,AT-10406,07/Jun/19,Nes Cau,"$1,630.78 ",Australian Capital Territory,Online
,AT-2058,07/May/18,Nescafe,"$1,646.40 ",Australian Capital Territory,Online
,AT-11162,04/Jul/19,Nescafe,"$1,630.78 ",Australian Capital Territory,Online
,AT-7709,04/Jan/19,Nescafe,"$1,617.00 ",Australian Capital Territory,Online
,AT-13442,27/Sep/19,Smarties,"$1,922.03 ",Australian Capital Territory,Direct
,AT-15464,11/Jan/20,Smarties,$800.84 ,Australian Capital Territory,Direct
,AT-18317,16/Jun/20,Smarties,$391.39 ,Australian Capital Territory,Online
,AT-1615,14/Apr/18,Nescafe,"$1,440.60 ",Australian Capital Territory,Online
,AT-5371,12/Sep/18,Nescafe,"$1,440.60 ",Australian Capital Territory,Online
,AT-7690,02/Jan/19,Nescafe,"$1,372.00 ",Australian Capital Territory,Online
,AT-16420,15/Mar/20,Nescafe,"$1,372.00 ",Australian Capital Territory,Online
,AT-14970,19/Nov/19,Nescafe,"$1,354.85 ",Australian Capital Territory,Direct
,AT-192,16/Jan/18,Nescafe,"$1,285.10 ",Australian Capital Territory,Direct
,AT-2835,11/Jun/18,Nescafe,"$1,261.34 ",Australian Capital Territory,Direct
,AT-285,24/Jan/18,Nesquik Duo,"$1,162.77 ",Australian Capital Territory,Direct
,AT-2886,13/Jun/18,Nesquik Duo,"$4,360.39 ",Australian Capital Territory,Direct
,AT-3642,10/Jul/18,Nesquik Duo,"$4,651.08 ",Australian Capital Territory,Direct
,AT-7137,14/Nov/18,Nesquik Duo,"$1,550.36 ",Australian Capital Territory,Direct
,AT-8129,06/Feb/19,Nesquik Duo,"$5,758.48 ",Australian Capital Territory,Direct
,AT-9023,31/Mar/19,Nesquik Duo,"$4,318.86 ",Australian Capital Territory,Direct
,AT-10070,24/May/19,Nesquik Duo,"$3,460.63 ",Australian Capital Territory,Direct
,AT-10770,21/Jun/19,Nesquik Duo,"$5,204.78 ",Australian Capital Territory,Direct
,AT-11688,24/Jul/19,Nesquik Duo,"$7,530.32 ",Australian Capital Territory,Direct
,AT-13686,05/Oct/19,Nesquik Duo,"$8,637.72 ",Australian Capital Territory,Direct
,AT-15941,15/Feb/20,Nesquik Duo,$830.55 ,Australian Capital Territory,Direct
,AT-16746,03/Apr/20,Nesquik Duo,$415.28 ,Australian Capital Territory,Direct
,AT-17678,21/May/20,Nesquik Duo,"$5,260.15 ",Australian Capital Territory,Direct
,AT-20355,30/Aug/20,Nesquik Duo,"$4,706.45 ",Australian Capital Territory,Direct
,AT-20490,04/Sep/20,Nesquik Duo,"$2,491.65 ",Australian Capital Territory,Direct
,AT-21273,02/Oct/20,Nesquik Duo,"$2,214.80 ",Australian Capital Territory,Direct
,AT-19085,14/Jul/20,Nescafe,"$1,233.30 ",Australian Capital Territory,Direct
,AT-17835,29/May/20,Nescafe,"$1,179.68 ",Australian Capital Territory,Direct
,AT-21064,25/Sep/20,Nescafe,"$1,176.00 ",Australian Capital Territory,Direct
,AT-18588,26/Jun/20,Nescafe,"$1,161.30 ",Australian Capital Territory,Direct
,AT-15557,19/Jan/20,Nescafe,"$1,102.50 ",Australian Capital Territory,Online
,AT-7080,12/Nov/18,Nescafe,"$1,067.29 ",Australian Capital Territory,Direct
,AT-4167,29/Jul/18,Nescafe,$995.31 ,Australian Capital Territory,Online
,AT-1607,13/Apr/18,Maggi,"$5,625.20 ",Australian Capital Territory,Direct
,AT-4351,05/Aug/18,Milo,"$1,078.00 ",Australian Capital Territory,Direct
,AT-5269,08/Sep/18,Milo,"$1,078.00 ",Australian Capital Territory,Direct
,AT-6349,17/Oct/18,Milo,$490.00 ,Australian Capital Territory,Direct
,AT-9446,22/Apr/19,Nes Cau,$548.80 ,Australian Capital Territory,Direct
,AT-13180,17/Sep/19,Nes Cau,"$3,136.00 ",Australian Capital Territory,Direct
,AT-13936,14/Oct/19,Nes Cau,"$2,842.00 ",Australian Capital Territory,Direct
,AT-16460,17/Mar/20,Nes Cau,$294.00 ,Australian Capital Territory,Direct
,AT-22009,29/Oct/20,Smarties,"$1,176.00 ",Australian Capital Territory,Direct
,AT-12522,24/Aug/19,Nescafe,$943.74 ,Australian Capital Territory,Direct
,AT-5976,03/Oct/18,Smarties,$321.56 ,Australian Capital Territory,Online
,AT-7089,12/Nov/18,Smarties,$382.81 ,Australian Capital Territory,Online
,AT-10728,19/Jun/19,Smarties,"$1,914.06 ",Australian Capital Territory,Online
,AT-6662,29/Oct/18,Nescafe,$926.10 ,Australian Capital Territory,Online
,AT-15875,11/Feb/20,Nescafe,$851.99 ,Australian Capital Territory,Online
,AT-20439,02/Sep/20,Nescafe,$831.65 ,Australian Capital Territory,Direct
,AT-16956,14/Apr/20,Nescafe,$820.75 ,Australian Capital Territory,Online
,AT-18814,04/Jul/20,Nescafe,$700.70 ,Australian Capital Territory,Online
,AT-1233,24/Mar/18,Nescafe,$688.14 ,Australian Capital Territory,Direct
,AT-12918,07/Sep/19,Nescafe,$619.36 ,Australian Capital Territory,Direct
,AT-713,22/Feb/18,Nescafe,$617.40 ,Australian Capital Territory,Online
,AT-8630,08/Mar/19,Nescafe,$611.52 ,Australian Capital Territory,Online
,AT-15466,11/Jan/20,Nescafe,$600.25 ,Australian Capital Territory,Online
,AT-21747,19/Oct/20,Nescafe,$580.65 ,Australian Capital Territory,Direct
,AT-17881,31/May/20,Nescafe,$554.44 ,Australian Capital Territory,Direct
,AT-19548,31/Jul/20,Nescafe,$554.44 ,Australian Capital Territory,Direct
,AT-14249,26/Oct/19,Nescafe,$529.20 ,Australian Capital Territory,Online
,AT-077,07/Jan/18,Nescafe,$514.50 ,Australian Capital Territory,Online
,AT-7438,24/Nov/18,Nescafe,$428.75 ,Australian Capital Territory,Online
,AT-6340,17/Oct/18,Nescafe,$398.13 ,Australian Capital Territory,Online
,AT-18628,28/Jun/20,Nescafe,$343.00 ,Australian Capital Territory,Online
,AT-18763,02/Jul/20,Nescafe,$257.25 ,Australian Capital Territory,Online
,AT-16451,17/Mar/20,Nescafe,$238.88 ,Australian Capital Territory,Online
,AT-6289,15/Oct/18,Nescafe,$180.08 ,Australian Capital Territory,Online
,AT-14669,09/Nov/19,Nescafe,$156.56 ,Australian Capital Territory,Online
,AT-19235,19/Jul/20,Nescafe,$130.46 ,Australian Capital Territory,Online
,AT-20315,28/Aug/20,Nescafe,$130.46 ,Australian Capital Territory,Online
,AT-15569,20/Jan/20,Nescafe,$286.65 ,Australian Capital Territory,Online
,AT-18083,08/Jun/20,Nescafe,$249.90 ,Australian Capital Territory,Online
,AT-18032,06/Jun/20,Nescafe,$248.26 ,Australian Capital Territory,Direct
,AT-2964,16/Jun/18,Nescafe,$230.53 ,Australian Capital Territory,Direct
,AT-9887,15/May/19,Nescafe,$224.14 ,Australian Capital Territory,Direct
,AT-20568,07/Sep/20,Nescafe,$216.27 ,Australian Capital Territory,Direct
,AT-19112,15/Jul/20,Nescafe,$216.23 ,Australian Capital Territory,Direct
,AT-16725,02/Apr/20,Nescafe,$214.99 ,Australian Capital Territory,Online
,AT-22578,17/Nov/20,Nescafe,$212.91 ,Australian Capital Territory,Direct
,AT-16787,05/Apr/20,Nescafe,$207.91 ,Australian Capital Territory,Direct
,AT-2279,18/May/18,Nescafe,$206.44 ,Australian Capital Territory,Direct
,AT-11766,27/Jul/19,Nescafe,$200.54 ,Australian Capital Territory,Direct
,AT-10795,22/Jun/19,Nescafe,$187.92 ,Australian Capital Territory,Online
,AT-11252,08/Jul/19,Nescafe,$182.28 ,Australian Capital Territory,Online
,AT-18839,05/Jul/20,Nescafe,$172.73 ,Australian Capital Territory,Online
,AT-8078,03/Feb/19,Nescafe,$169.09 ,Australian Capital Territory,Direct
,AT-8514,01/Mar/19,Nescafe,"$3,087.00 ",Australian Capital Territory,Online
,AT-18841,05/Jul/20,Nescafe,"$3,025.75 ",Australian Capital Territory,Online
,AT-7165,15/Nov/18,Nescafe,"$3,009.83 ",Australian Capital Territory,Online
,AT-16024,20/Feb/20,Nescafe,"$2,910.78 ",Australian Capital Territory,Direct
,AT-15478,12/Jan/20,Nescafe,"$2,744.00 ",Australian Capital Territory,Online
,AT-8516,01/Mar/19,Nescafe,"$2,661.29 ",Australian Capital Territory,Direct
,AT-22349,10/Nov/20,Nescafe,"$2,646.00 ",Australian Capital Territory,Online
,AT-2862,12/Jun/18,Nescafe,"$2,619.71 ",Australian Capital Territory,Direct
,AT-3882,19/Jul/18,Nescafe,"$2,614.95 ",Australian Capital Territory,Direct
,AT-8271,15/Feb/19,Nescafe,"$2,611.70 ",Australian Capital Territory,Online
,AT-4143,28/Jul/18,Nescafe,$12.81 ,Australian Capital Territory,Direct
,AT-14227,25/Oct/19,Nescafe,$12.74 ,Australian Capital Territory,Online
,AT-15046,22/Nov/19,Nescafe,$12.43 ,Australian Capital Territory,Online
,AT-14278,27/Oct/19,Nescafe,$12.34 ,Australian Capital Territory,Online
,AT-318,27/Jan/18,Nescafe,$12.31 ,Australian Capital Territory,Direct
,AT-729,23/Feb/18,Nescafe,$12.10 ,Australian Capital Territory,Online
,AT-9473,24/Apr/19,Nescafe,$11.94 ,Australian Capital Territory,Online
,AT-21774,20/Oct/20,Nescafe,$13.17 ,Australian Capital Territory,Direct
,AT-15283,30/Nov/19,Nescafe,$13.05 ,Australian Capital Territory,Online
,AT-12551,25/Aug/19,Nescafe,$13.03 ,Australian Capital Territory,Direct
,AT-9114,05/Apr/19,Nescafe,$12.94 ,Australian Capital Territory,Online
,AT-21513,11/Oct/20,Nescafe,$12.10 ,Australian Capital Territory,Direct
,AT-4899,25/Aug/18,Nescafe,$11.80 ,Australian Capital Territory,Direct
,AT-21573,13/Oct/20,Nescafe,"$2,079.13 ",Australian Capital Territory,Direct
,AT-16437,16/Mar/20,Nescafe,"$2,058.00 ",Australian Capital Territory,Online
,AT-6689,30/Oct/18,Nescafe,"$2,006.55 ",Australian Capital Territory,Online
,AT-11502,17/Jul/19,Nescafe,"$1,995.97 ",Australian Capital Territory,Direct
,AT-3942,21/Jul/18,Nescafe,"$1,940.52 ",Australian Capital Territory,Direct
,AT-7702,03/Jan/19,Nescafe,"$1,886.50 ",Australian Capital Territory,Online
,AT-13863,11/Oct/19,Nescafe,"$1,858.08 ",Australian Capital Territory,Direct
,AT-3235,26/Jun/18,Nescafe,"$1,783.60 ",Australian Capital Territory,Online
,AT-10746,20/Jun/19,Nescafe,"$1,774.19 ",Australian Capital Territory,Direct
,AT-22650,20/Nov/20,Nescafe,"$1,769.51 ",Australian Capital Territory,Direct
